
> @figma/my-make-file@0.0.1 dev:backend
> npm --prefix backend start


> depression-detection-backend@1.0.0 start
> node src/server.js


==================================================
🚀 Depression Detection API Server
==================================================
✓ Environment: development
✓ Port: 5000
✓ URL: http://localhost:5000
==================================================

Database connected successfully
[20.56.37] GET /api/users
[20.57.17] GET /api/tests
[20.57.18] GET /api/users
[20.57.18] GET /uploads/profiles/default.jpg
[20.57.26] GET /uploads/profiles/default.jpg
[20.57.34] GET /uploads/profiles/default.jpg
[20.57.41] GET /api/tests
[20.57.57] POST /api/auth/login
[20.57.57] GET /api/tests/student/student-001
[20.57.58] GET /uploads/profiles/default.jpg
[20.58.01] GET /uploads/profiles/default.jpg
[20.58.09] GET /uploads/profiles/default.jpg
[21.03.08] GET /api/tests/student/student-001
[21.03.08] GET /api/auth/me
[21.03.08] GET /uploads/profiles/default.jpg
[21.03.08] GET /api/tests/student/student-001
[21.03.08] GET /uploads/profiles/default.jpg
[21.03.10] GET /uploads/profiles/default.jpg
[21.03.11] GET /uploads/profiles/default.jpg
[21.03.30] PUT /api/users/student-001
[21.03.32] PUT /api/users/student-001
[21.03.33] PUT /api/users/student-001
[21.03.37] PUT /api/users/student-001
[21.03.42] GET /uploads/profiles/default.jpg
[21.03.46] GET /uploads/profiles/default.jpg
[21.05.21] GET /uploads/profiles/default.jpg
[21.05.49] GET /api/users
[21.12.04] GET /uploads/profiles/default.jpg
[21.12.04] GET /api/tests/student/student-001
[21.12.04] GET /api/auth/me
[21.12.04] GET /api/tests/student/student-001
[21.12.09] GET /uploads/profiles/default.jpg
[21.12.37] GET /api/tests/student/student-001
[21.12.37] GET /api/auth/me
[21.12.37] GET /api/tests/student/student-001
[21.12.41] GET /uploads/profiles/default.jpg
[21.12.55] PUT /api/users/student-001
[21.13.01] GET /uploads/profiles/default.jpg
[21.14.22] GET /api/tests/student/student-001
[21.14.22] GET /api/auth/me
[21.14.22] GET /uploads/profiles/default.jpg
[21.14.22] GET /api/tests/student/student-001
[21.16.41] GET /uploads/profiles/default.jpg
[21.16.55] PUT /api/users/student-001
[21.19.19] GET /uploads/profiles/default.jpg
